Channel Title,Channel Id,videoCount,Vote1,Vote2,Vote3,Vote4,Vote5,Pinoybaiting
aeradits,UC2H2SMSG36AfDNYyJK0waNg,2,Yes,No,No,No,No,no
jen!,UC2JUkXLai3HvvaA9kMZhAgw,2,Yes,No,No,No,No,no
AKOSI DOGIE,UC2LB3AyQ4q2rAk5x1HDDT0g,4,No,No,No,No,No,no
Marker 44,UC2V7XAqnvbIKmlox8FEMkvA,5,Yes,Yes,Yes,Yes,Yes,yes
백다니엘 DANIEL BAEK,UC2v9vlHZFQyU_K5OkbUlrmQ,3,No,Yes,Yes,Yes,Yes,yes
The YUH Family,UC2wTnMBvQ_TH0qn5rJl8hWQ,3,No,Yes,Yes,Yes,Yes,yes
Korean Filipino Jobs,UC2xFAIV5shzGSzX-F2J_1QA,11,Yes,Yes,Yes,Yes,Yes,yes
Buci Bonita,UC2xL9lM-JAxfDKdq6v1FOeQ,2,Yes,Yes,No,Yes,No,yes
Alwin GC,UC2YV9DGG7kN7mSeuQqD5QHA,7,No,Yes,Yes,Yes,Yes,yes
angelina,UC3Bo_vNWEEIOHj4vR7_d8uw,4,No,No,No,No,No,no
Ivana Perkovic,UC3cQWF3e0qcIDEBzCzqp_SQ,2,No,No,Yes,No,Yes,no
Steve Yalo,UC3hNYaWQYd_kGo2rKAGQPYQ,4,No,Yes,Yes,Yes,Yes,yes
OPLOX TV,UC3i-WTPAoJuEx9r-6HCWvkQ,2,Yes,Yes,Yes,Yes,No,yes
Yuru Philippines,UC3II306xUqkWJjTjQ39VMgw,3,Yes,Yes,No,Yes,Yes,yes
PAIR OF SOULS,UC3lpA2TVsu_2qKsPlw6FctQ,3,Yes,Yes,Yes,Yes,Yes,yes
BUBS & DOE,UC3N6Rrx3eTcJ4A5QRs2WRHw,5,No,No,Yes,Yes,Yes,no
Hey Joe,UC3V5_2DFqamGSrzYPg-Wggw,5,Yes,Yes,Yes,Yes,Yes,yes
Awesome world 어썸월드,UC3XwA9aaZdWfojyo9wKaFtw,8,No,No,No,Yes,No,no
Dwaine Woolley,UC3ZnKcjVu7GszgdBe4uRZ3A,11,Yes,Yes,Yes,Yes,Yes,yes
KaMangyan Vlogs Official,UC44SxOIVelJ7KjqmvJmde9A,2,No,No,No,No,No,no
OPM Tagalog Music,UC49ACYnKFIZB3RBJ0682MMw,5,No,No,No,No,No,no
C&N Podcast,UC4BLZTtlj1hasWQ1HqJ1ppQ,3,No,No,Yes,Yes,Yes,no
ALAN 5751,UC4bY8VfE_aLXKN8VUPYVu8Q,2,No,No,Yes,No,No,no
Our Philippines' Adventures,UC4K-p09jBTGH-nvqj-UqELQ,5,Yes,Yes,Yes,Yes,Yes,yes
Owl of Asia,UC4r6JBPiafpR2J7L_-KRM0Q,4,Yes,Yes,Yes,Yes,No,yes
OSSC,UC4rh5RVSMT00G29ySkkt1hg,26,No,No,No,No,No,no
GKD LABELS,UC4S7Ca53tVPuNQhAJKxzlzw,56,Yes,Yes,Yes,Yes,Yes,yes
Irene_Eneri,UC4ypznkS1QNOSTxLOScKG6A,3,Yes,Yes,Yes,Yes,No,yes
Oskar and Dan,UC56wC_xI1tobDsh0PhIG5Ow,2,No,No,Yes,No,No,no
MPL Philippines,UC5ASeit2rM3taMSUChv9tNA,8,No,No,No,No,No,no
Siobal D,UC5iqmxuLMWeWcXF5FtE_iZA,2,No,Yes,No,Yes,No,no
Snipe Gaming TV,UC5lxfy3BVWiaUw5BAf0VINw,13,No,No,No,No,No,no
Righteous Robot,UC5qFBTCSYO6Pc69bZk9CmfQ,4,No,Yes,No,No,No,no
The Sunbae Club,UC5srj0Tgfq-FuFyk9HFl0Rw,76,Yes,Yes,Yes,Yes,Yes,yes
The Music Recording Network,UC5TtuPafJIA-EBjDbjiUoFg,2,No,No,Yes,Yes,No,no
Smash Japanese,UC5xYepDyTWLh7QVgouUaCpA,4,No,No,No,Yes,Yes,no
Farhan Jahan,UC5yhpjeZYcuSLqeOdHLxnzg,9,No,No,No,No,No,no
The Sound Of The Philippines - bellapuhon,UC5zl9CnWhbwUBbPaqsWeyGw,2,Yes,Yes,Yes,Yes,Yes,yes
Yad Ventures,UC6_2wj3vR_j5EiqB-hZ7BUA,3,Yes,Yes,Yes,Yes,Yes,yes
BOLJUG,UC6-T5O6sH1TW93lcEhbueMQ,2,No,No,No,No,No,no
esportstvid,UC615Ng78VDeJgETIfVnH8rw,4,No,No,No,No,No,no
Anime - chan,UC6h-IgI3Dzx7nxCHaCfXl_g,2,No,No,No,No,No,no
Handa Studio Philippines,UC6i-b_82Fu9hCcgVnJEuV-Q,204,Yes,Yes,Yes,Yes,Yes,yes
Emy & Johan in the Philippines,UC6I1pNKRkHzFQhjxH83uaQg,5,Yes,Yes,Yes,Yes,Yes,yes
CorruptedKitsune,UC6k-25L3zChu75D9uYmfiHQ,2,No,No,Yes,No,No,no
Meljean Solon,UC6tfBpIVlXZehYg6mvV-qWg,4,Yes,No,Yes,Yes,No,yes
Jiaoying Summers,UC6tI7PwweyR3TQlsMTR1zWg,4,No,No,Yes,No,No,no
Zoe&Czar,UC6tqkWOGlN6zJDcnJvYkaMQ,4,Yes,Yes,Yes,Yes,Yes,yes
Jelena Kopilec,UC6tTTsFKifxEhOIMI2HtLeQ,9,Yes,Yes,Yes,Yes,Yes,yes
Kuya Alp,UC6uatVhsxPKbRVBuxF4NDtg,2,No,No,Yes,No,Yes,no
Richards Infinity,UC6WCc8tJw_9zU9HZ9mNpmBw,2,Yes,Yes,Yes,Yes,Yes,yes
The Rage and The Worst,UC6wVxQeATe3O2XaANCjWFGA,5,Yes,Yes,Yes,Yes,Yes,yes
Travel with Balnur,UC7A7na9vLPoBUKmpnAYFLew,4,No,No,Yes,Yes,Yes,no
SecretLifeofLauren,UC7AB80x51RwhxZpJmIUQiZQ,3,Yes,Yes,Yes,Yes,Yes,yes
Field of Visions,UC7bjjCXpXx41KriftaL6Biw,3,Yes,Yes,Yes,Yes,Yes,yes
Entertainment News Portal,UC7eXEhp_3MZI_s1CoZBrJyA,2,No,No,No,No,No,no
Bisayang Hilaw,UC7fga_Kycp9z6pg5Yhx7R-w,7,Yes,Yes,Yes,Yes,Yes,yes
VI3ION,UC7HxIb6bY4-ymtAOS_MGsOw,31,Yes,Yes,Yes,Yes,Yes,yes
MJoy4Fun,UC7iWbxJXZmhLy8_xYzAjHgA,3,No,No,No,No,No,no
rukia dagtan,UC7Kwbh0a4D4mJUfMYyaQnsQ,2,No,No,Yes,Yes,No,no
Mykoreandic,UC7QpulteHAxk4S1AASzCjvw,3,No,No,Yes,No,No,no
World Friends,UC7QteRlErpm27bkZ6izFwKg,2,No,No,No,No,No,no
More Travels w/ Drew Binsky,UC7xP-m9hfVmFqNLaKGgIlzA,2,No,No,Yes,Yes,No,no
PINAY AFAM TV🇦🇺,UC7yK84cgpIy9iRjk1uoM8WA,6,Yes,Yes,Yes,Yes,No,yes
Two Between | Sarah and Seunghyun,UC82Q2jylxM5jMmnK4SEb8pA,2,No,No,Yes,No,No,no
Harry Jaggard,UC8fwExOkHg0_fX_XJcR31NA,3,Yes,Yes,Yes,Yes,Yes,yes
FoodieMommaPH,UC8hiiGm6GTyTVvO-LtZ2Xmw,2,Yes,Yes,Yes,Yes,No,yes
PRINCESS CHRISTY 💕,UC8lYYEeIHHY9sCTGik4s06g,4,No,No,Yes,No,No,no
FosteringMusic,UC8nzqHSHqZb7oLaG3YTqy-g,2,No,No,Yes,No,Yes,no
Reidy Ventures,UC8OLrmcJnZWAZpH8fpyEChg,2,No,Yes,Yes,Yes,Yes,yes
HORI7ON PH,UC8ox5YnSUPlm1q-_yiqxfCA,4,No,No,No,No,No,no
Emirates Loves Philippines,UC8qBrdamqYihT_xWo-zyo-A,2,No,Yes,Yes,Yes,No,yes
McJhony,UC8rc4LEymAfWQMx1diQlaXA,9,No,Yes,No,No,No,no
Pamilya Abilla,UC8rEUBRN_jolCH0MqEc2_HA,2,Yes,No,Yes,Yes,No,yes
Go With Ali,UC8S3gQ0LjFLx4cFrzBXytrw,10,No,Yes,Yes,Yes,Yes,yes
Province Smile,UC8u9rhEMQ1dN4nUW9hLS21g,2,Yes,Yes,Yes,Yes,Yes,yes
Two Broskis,UC94bSvWltDS6I0U_u7mn8VQ,8,Yes,Yes,Yes,Yes,Yes,yes
Anne Today,UC96SVjbFTRkUQ_wyeKBeN6g,2,No,No,Yes,Yes,No,no
Cousin Blaisee,UC96vBf9-fNyC5O8m8l_OKZg,3,Yes,Yes,Yes,Yes,No,yes
fanny_video51,UC990V0wlxyg06P4T3nVXZzA,3,No,No,No,No,No,no
FUNG BROS.,UC9avFXTdbSo5ATvzTRnAVFg,3,Yes,No,Yes,No,No,no
Aaron Around,UC9DwgmJc-uKnxGavukOy_6w,2,Yes,Yes,Yes,Yes,Yes,yes
Ultimate Gacha Wolf PH,UC9F5_fWffejgUZixVyfwo1Q,3,No,No,No,No,No,no
Warographics,UC9h8BDcXwkhZtnqoQJ7PggA,2,No,No,No,No,No,no
Jorden Tually,UC9hCQoT-VY7vVRaC62WJOJw,3,No,No,Yes,No,No,no
Jun's Life in the Philippines,UC9HiNy95qeyWUarzHO9sk8A,4,No,Yes,Yes,Yes,No,yes
Happiness Crossing,UC9jKcnqQ1TziJRAkSXbNISA,5,Yes,Yes,Yes,Yes,No,yes
DRHOBS,UC9oT9kTjh7_rcS0Ld9LOETw,2,No,No,No,No,No,no
Anthony & Ana,UC9RfFnZa7EPPkxb3hX32rFA,4,No,No,Yes,No,Yes,no
Illustrado Magazine,UC9YWmmRmSvug3HYYnq2dcqw,2,No,Yes,Yes,Yes,Yes,yes
Martin Solhaugen,UCa__kMdkhFJvXcx1WALJ3hg,2,Yes,Yes,Yes,Yes,No,yes
Music Hot,UCa2pFBgiwFvH9XNCasfxHiw,3,No,No,No,No,No,no
Casal Louco e Sonhador,UCA4GyKGfPWFjscpBSgDCh1g,4,No,No,No,No,No,no
Vocal Lab Collective,UCa9GyTms1Kyve7Pyj3i-Vnw,6,No,No,Yes,No,Yes,no
RT TV,UCa9T0y46uK5FzJT-8tLBFeQ,3,No,No,Yes,No,No,no
DORCAS Morounmubo,UCaAjLj9oGV6VKMYq8FxEwdQ,16,Yes,Yes,Yes,Yes,Yes,yes
GSM10,UCaEojWHVRqEG8JtPQOtKurA,2,No,No,Yes,Yes,Yes,no
BL Lover 🏳‍🌈,UCaFcgopQe6kmZ3wDHgOyjdQ,3,No,No,No,No,No,no
Ammar,UCaFhs6xTFwNK8J8XGM6yRiQ,4,No,Yes,Yes,Yes,Yes,yes
A British Expat In The Philippines,UCAk9RQwVhfirnwxn_hKVBAA,2,Yes,Yes,Yes,Yes,No,yes
RURUSAMA TV,UCalFWSVu4ODyVua9crUUIcA,2,No,No,Yes,No,No,no
Samantha Lisa,UCam1q_TN5QauJdk07T0bteA,6,No,Yes,Yes,Yes,Yes,yes
KarissaEats,UCamdvUq4-BoneYsHZt0Agrw,2,No,No,Yes,No,No,no
Tosa Dela Yaun,UCAn1xZqc_LzZc3D7DpcFcFw,2,No,No,No,No,No,no
It’s Me,UCaNjRBHCKnvqWKM22wg0ItA,2,Yes,Yes,Yes,Yes,No,yes
AnongSayoTv Cover,UCanpS1kLR6shtqkpx5H50VQ,6,No,No,No,No,No,no
KOCOWA TV,UCAqlxq4Bs9PjI86M9lM18TA,2,No,No,No,No,No,no
Leeman reacts,UCATEfq-fUMoK-zftoyppJqA,2,Yes,Yes,Yes,Yes,Yes,yes
Adventure Faktory,UCATIycLIXMeetRVO-XS4p7g,4,No,Yes,Yes,Yes,Yes,yes
The Content Junkies,UCau87M9DnzSL5iDE9f4uVKQ,10,Yes,Yes,Yes,Yes,Yes,yes
TriFate Geo,UCAUgY9e_n2DhyZTgvPRoJnQ,66,No,Yes,Yes,Yes,Yes,yes
Alpha F,UCaxaaz3CaYc8TN7crt_LvpA,3,Yes,Yes,Yes,Yes,Yes,yes
"CebuWomen,com",UCAxCIp9ngVqLFSDtX5o4LXw,3,Yes,Yes,Yes,Yes,Yes,yes
Nico Blitz,UCB8WyYjknn6apZL3HEuhxnQ,4,No,No,Yes,No,No,no
StarTalk Showbiz Authority,UCb9iY4lPCDLkVGl_jm4zriQ,4,No,No,No,No,No,no
Christian Esguerra,UCbaLl2xCXotxwcNXI5GM-wQ,2,No,No,No,No,No,no
King Sloth,UCbbRENB2CSVSp3cYv1gAzJg,4,No,No,Yes,Yes,Yes,no
Happiness Boms,UCbbw0svE3owMHUQcsL0nnUA,7,Yes,Yes,Yes,Yes,Yes,yes
JohnReavesLive,UCbcBmBTMsbLxYv-rOyPiRWw,3,Yes,No,Yes,No,No,no
2 French in Manila,UCBEzIEPpJnkdiB3yZ8V3JRg,2,Yes,Yes,Yes,Yes,Yes,yes
PurpleMochi,UCbGp7x9zWaKpX5huKA20QjA,2,No,No,No,No,No,no
Roger&Ismi Vlogs,UCBGxoGo28ZLJpQMML7jBKhw,5,No,Yes,No,Yes,No,no
Building the Philippines with Wilma & Greg,UCBhnGs1nD_ixIGWkJUYkfRQ,5,Yes,Yes,Yes,Yes,No,yes
Oppa Jinyong,UCBLepDOut_qiOetyDqLBmKw,6,Yes,Yes,Yes,Yes,Yes,yes
Gacha Czarina 08,UCBlv0_AQ1VrFEyZsAFEY-WQ,3,No,No,Yes,No,No,no
YouTube Movies,UCbP3Ho8dd1LrbROgg748XyA,4,No,No,No,No,No,no
laoshu505000,UCbRaUB7Hfe3clmKqqj8Nm1Q,2,No,No,Yes,No,No,no
꧁𝑰𝒕𝒛 𝑱𝒙𝒎𝒂𝒊𝒄𝒉𝒂_097꧂,UCbRJEFYkMU1x5quyvjP0L0Q,2,No,No,No,No,No,no
Cousins React PH,UCbS8LGW-p2mPuyLd4cF410Q,97,No,Yes,No,Yes,No,no
Life as a Bilingual in the Philippines,UCBtoYkb6b5TYfrhUnxEGj4g,2,No,No,Yes,No,No,no
_.𝘅𝘆𝘇𝘀🍶,UCbVopsck2JnSOmkW0pvoqXw,2,No,No,No,No,No,no
DSReact,UCBW0DKGRqcpdU3gnAKlXhLA,3,No,No,No,Yes,No,no
Hashtag The Cannons,UCbZL-jnom9mBCqX2UeMcejA,2,No,No,Yes,No,No,no
Travels to Freedom,UCc_tHsTZ4yGhv4tI2Fwl-ow,4,No,No,No,No,Yes,no
Kuya Mike,UCC6aF7bgIEBnMJC2rV4XOmg,4,Yes,Yes,Yes,Yes,Yes,yes
Village People Philippines,UCCAh-tDKBja88N59E-KwL3g,4,No,Yes,Yes,Yes,No,yes
Travel Escapes,UCcaIZBgmiYTJP9fpO_xjMTQ,10,Yes,Yes,Yes,Yes,Yes,yes
Russian Pinoy — Kuya Klim,UCCb-6a1Fakv4QzwC2c-3vAg,4,Yes,Yes,Yes,Yes,Yes,yes
꧁♡χινα_ρн♡꧂,UCCdajzIqHasWDwIeyXbS5eg,2,No,No,No,No,No,no
Star Abelar,UCCDotW9D0t8a2b-wpJtuvHg,4,No,Yes,Yes,Yes,No,yes
Schnell Jordan Reactions,UCcEpD6eTjWQcm_nnnIgzfsA,2,No,No,Yes,No,Yes,no
LOKAL RAPPER PH,UCcEy2BmQIV4dJQUw3FJGfZg,3,No,No,No,No,No,no
Music Game News,UCCgVh36x3hbuRnHMpwl443Q,44,Yes,Yes,Yes,Yes,Yes,yes
"Jace, pumpwolfYT 🎃🐺",UCChQ3JKPOy_cycV-PISh8jQ,2,No,No,No,No,No,no
Filipina Wanderer,UCCiMwFoldFIVyqm2ExCHoWg,3,Yes,Yes,Yes,Yes,No,yes
RL  SHEIK,UCcjzBEWzeHbvyIY88MHMoAA,2,Yes,No,No,No,No,no
Real Truth on Filipina and Philippines,UCCkq9dpbM_Z9MSjXsPuW7LA,5,No,No,No,No,No,no
JUDY FLORES,UCCqW89kkbLYRK912SLPsEmw,4,Yes,Yes,No,Yes,No,yes
Vincenzo's Plate,UCcsSowAamCLJv-xeF9geXoA,2,No,No,Yes,No,No,no
Danno Cal Drawings,UCCuZ0r9pDMI8DwhtRV1fNhg,5,No,No,No,No,No,no
Laughs.Alatte,UCd_-mekZnESWsyw8uEyh8lg,2,No,No,No,No,No,no
Joshi Santiago,UCd_e7PtLBcWocT4MvMuOwlw,2,No,No,No,No,No,no
TFC The Filipino Channel,UCD0vxQF1g6vwMDLtDqTz1SA,2,No,No,No,No,No,no
Bowzer’s reaction Pit,UCD58HBLhMozUsE6JwK3y10g,3,No,Yes,Yes,Yes,Yes,yes
RodVivKids Family Vlog Philippines 🇵🇭,UCdBpCFv_RTOOBrImOlPT97g,3,Yes,Yes,Yes,Yes,No,yes
Kumusta Philippines,UCdCcBT4F1nsVs46w3sG8Pjg,2,Yes,Yes,Yes,Yes,Yes,yes
jirohpages,UCdeGHJwtWJAcuC0VczkuV3Q,10,No,Yes,No,Yes,No,no
King Family Reacts,UCdF3Zbw_0Y4mSmpPbC7OlxQ,2,No,No,Yes,Yes,Yes,no
Wish 107.5,UCdfq8-581QVUtVsa8ChVnDQ,2,No,No,No,No,No,no
Asians Down Under,UCDikY0fBFXGCFA_0Fr2azYg,3,No,No,Yes,Yes,Yes,no
A Foreigner Escapes to the Philippines,UCDiZhoVoHJDx-R_LnfUxftw,2,Yes,Yes,Yes,Yes,Yes,yes
Shin Smith,UCdkq517IaeUcnG5CIiFX9RA,34,Yes,Yes,Yes,Yes,Yes,yes
Rappler,UCdnZdQxYXnbN4uWJg96oGxw,3,No,No,No,No,No,no
Tom from Texas,UCDnzN6Kr9DBlQB9ixKqt1Ng,7,No,Yes,Yes,Yes,Yes,yes
Cheat Day Around The World,UCDOuxZJhmfC69gX22nZ1loA,3,No,No,Yes,No,No,no
•ɪᴛᴢ ᴅxᴠɪ•,UCDPDfPtPRLCr7---uNbX3Hg,2,No,No,No,No,No,no
RiVerse Live,UCDpsIpLA8hAguHdHrprC-sA,4,No,No,No,Yes,Yes,no
One Couples Adventure,UCdpyOtHDfdsGpJY3BoK7MnQ,3,No,No,Yes,No,No,no
TOM And RUTH 🇵🇭 Adventures,UCDQ2M--Pc_L6kdZCDw7kjYw,2,Yes,Yes,Yes,Yes,Yes,yes
GH'S,UCdrBnBNLsN4_cH32HWbr9qg,5,No,No,No,No,No,no
All About Filipina Relationships,UCDSd4U2FQAB4XWgHMjoRrzg,3,Yes,Yes,Yes,Yes,Yes,yes
Solomon Pisarich,UCDurjBKKC_nZ-0p_FoA1_HQ,2,No,No,No,No,No,no
thegasconprincess,UCdvmp5g7tgB49kLnPeik3XA,12,No,Yes,Yes,Yes,Yes,yes
Just Liz!,UCdXXJoFhTrAI4NzRnPdUQxw,4,Yes,No,Yes,Yes,No,yes
AG WONDER 111,UCDyDWQVNvHtbOosA39aslvw,7,No,Yes,Yes,Yes,Yes,yes
MomDuty,UCDZP2n7wrjSrFA8_KENuJ3Q,3,Yes,Yes,Yes,Yes,Yes,yes
ABS-CBN News,UCE2606prvXQc_noEqKxVJXA,6,No,No,No,No,No,no
Lil King,UCE3GGYHeyTyTWEYdltEeKTA,2,No,No,No,No,No,no
PH dos REACT,UCe3sLhzbYEz40QeS_Iscn0g,10,Yes,Yes,Yes,No,No,yes
The Joint Base Podcast,UCe5wLGScEw2VUiDP-zdBzpw,3,No,Yes,Yes,Yes,Yes,yes
Timeout with Dami,UCe7op4W-6YKJOpsG9TOi2CA,3,Yes,Yes,Yes,Yes,Yes,yes
El Gato de las Weeekly 🐈,UCE8moOr7XnyV9WVaa7RGf0w,2,No,No,No,No,No,no
Amiteefrost vlog,UCeAzO56L8g5T-vuJ0g819-g,2,No,Yes,Yes,No,Yes,no
chaengtatts,UCEbGn4-f2x7UF796859QFmg,2,No,No,No,No,No,no
Luis Portelles,UCeBL09KpOrsEPZhsbI7WT1Q,6,Yes,No,Yes,Yes,No,yes
OPM Acoustic,UCeccof3xATHRJVYTGx36wdw,20,No,Yes,No,No,No,no
Mommy Joy's Life,UCEDiHRbZ8GaEz36dWrneZdw,3,Yes,Yes,Yes,Yes,No,yes
Inwook,UCeEZxtbcWUs4G6IzGGPNhwA,4,No,No,No,No,Yes,no
YouTube Movies,UCeFH5kVa3__l4mnGPV47kPA,4,No,No,No,No,No,no
A Brit in the Philippines,UCegwghWDySliAEORgjaZqYA,2,Yes,Yes,Yes,Yes,Yes,yes
Sinema Filipino,UCeH7OWYyfgdpHDzYzQTA4Lw,2,No,No,No,No,No,no
Ella Patrice Fajardo,UCEhQEvar9m9divTBuwuTzXQ,2,Yes,Yes,Yes,Yes,Yes,yes
Amboy Sa Pinas,UCEjpHDkceZ2lYjnI54t9fmg,8,Yes,No,Yes,Yes,Yes,yes
The Joi,UCEkqKR-EDytWGuyjDEpYwAQ,2,No,No,No,No,No,no
Netflix Philippines,UCEnaoRpbxiSbAhBkuvODGpw,3,No,No,No,No,No,no
Global Marissa,UCENHwjTptE-I6PTAmymYrLw,2,Yes,Yes,Yes,No,Yes,yes
Alphidia_Savala,UCenm2bbsCF5N8oRG4sjWmfA,4,No,No,No,Yes,No,no
JESSEOGN,UCeOFPMK-i-eo-JdeNWHeCYQ,2,No,No,No,No,No,no
Jared Hartmann,UCEOV7DU1UfzH05r3KBq0OaQ,9,Yes,Yes,Yes,Yes,Yes,yes
G.O.T Games,UCEpGO4cx6j0PBc5LzkmtYdw,2,No,No,Yes,No,No,no
Finding Paradise,UCEScbJ_iUulVoAeHEAkpRLw,2,Yes,Yes,Yes,Yes,Yes,yes
DJY,UCESmqqsRWsicB9yqXZ_w04w,4,No,Yes,Yes,No,No,no
Yoshi the Japanese Guy,UCeT1qAcQxLP6cEfbMe85QCQ,30,Yes,Yes,Yes,Yes,Yes,yes
3 stars and a sun,UCewharJXyf740yMFg9qNcbw,5,Yes,Yes,No,Yes,Yes,yes
🍄Mushboom🍄,UCewzKsrjO0xH7GNQuMDD78Q,3,No,No,Yes,No,No,no
Journey of Josh,UCeYkoGE0YuPrpTC0NLCwcNg,4,No,No,Yes,Yes,No,no
Urbanist: Exploring Cities,UCf_u5jxmnZhv3DaNswhPoVA,2,No,No,Yes,No,No,no
