Channel Title,Channel Id,Channel link,videoCount,Pinoybaiting,Notes,Annotated by:
Fr. Jowel Jomarsus Gatus,UC-BiW9G1BsJV1pm7pA5zc2g,Visit Channel,2,No,"It also uses ""FILIPINO"" but the content creator is a filipino himself and the purpose of his videos are more for religous purposes. (the ""FILIPINO""is just there so people can recognize they will most likely use tagalog)",Airon Matthew Bantillo
IFCGuam,UC-BKXdCFnPmTpljrxxYu7dQ,Visit Channel,2,Yes,Videos associated with Filipino garners more views,Ian Gabriel Ilagan
Lazisoo,UC-Cf5_vTOtmN8tkR3Bs_TSg,Visit Channel,7,Yes,This content creator falls under the first and second qualifications for pinoybaiting. His pinned video is also actually about a korean's reaction of Lee Da Hae insulting Filipino english accent. ,Airon Matthew Bantillo
Amazing Philippines,UC-jq_OD2e2xIcm5RdTrBcNg,Visit Channel,3,Yes,,Ian Gabriel Ilagan
Yuki Japan (Binisaya ni Yuki),UC-mJgTt3Du5tZIfcCO3vX-Q,Visit Channel,2,Yes,"This content creator is a japanese that speaks in bisaya. While he doesn't use exaggerated captions, he obviously uses filipino related things to promote himself. He also falls under the first and qualification for pinoybaiting ",Airon Matthew Bantillo
Rare Soul Worldwide,UC-VUzVsTFTXMU7aSf-lEsiA,Visit Channel,7,Yes,"Might need to double check :). To be fair, he reacts to all kinds of stuff, but those associated with Filipinos are a bit exaggerated. ",Ian Gabriel Ilagan
Alex Oh Reacts,UC-wdvwNBuVobJRbISwjA5Hw,Visit Channel,4,Neither,"While this content creator is a non filipino english speaking content creator, the main concept (in terms of captions, thumbnail, and content itself) is more on exploring global music genres and he doesn't really use exaggerated pinoybaiting schemes to get the attention of people",Airon Matthew Bantillo
Big Guy Appetite,UC-wNjA3exMjeJlEU5TvJ4Tw,Visit Channel,7,Yes,,Ian Gabriel Ilagan
KATCHUP,UC-YjZCIxGE1Al-I2rGTukyA,Visit Channel,2,Yes,Uses exaggerated captions ,Airon Matthew Bantillo
Antonius Agus Sirait Official,UC-Z31ZpHeyIPus-cYtFwOiQ,Visit Channel,2,No,,Ian Gabriel Ilagan
Savory Stories,UC-ZBaZ53_4a9DU0HM0T2hyg,Visit Channel,2,Yes,"Non Filipino content creator that speaks in english. Majority of his contents are also about filipino foods. Aside from this, one of his most engaged video is about his ""top 5 filipino foods""",Airon Matthew Bantillo
Throga - Vocal Gym,UC01j-4Q2TUyppuhNJ7pnWdA,Visit Channel,3,No,Might need to double check :). They react to all kinds of music related stuff tho,Ian Gabriel Ilagan
Team CorGi,UC0EQSC9tQA40qM-x9bRj67A,Visit Channel,3,Yes,"A Fil-am couple that always sneaks in ""Filipino"" with their video captions/titles",Airon Matthew Bantillo
IdkSterling,UC0GbKJaeEN9k5CG1NLbN6Ow,Visit Channel,14,No,,Ian Gabriel Ilagan
Melanie Reacts,UC0iTpbJzi9n8Vj3tvPj9aAA,Visit Channel,3,No,"An international artist reacting to various global music artists. She has many videos about SB19 and some videos about artists like IV of spades and Zach Tabudlo. Aside from that, she doesn't really use pinoybaiting indicators aside from mentioning the names of the famous artists. ",Airon Matthew Bantillo
TheJavierLifestyle,UC0kn28AeYnmyMi4iAUIrgiQ,Visit Channel,2,Yes,Might need to double check :). Reacts to all kinds of music too,Ian Gabriel Ilagan
EVN REAX,UC0lLKwsajj4Q1EA13ogAJRA,Visit Channel,2,Yes,"Non-filipino content creator sneaking in ""filipino reaction"" to their videos",Airon Matthew Bantillo
Cherry Road,UC0Nr_aAgnVthiy8PJx_tNoQ,Visit Channel,2,No,,Ian Gabriel Ilagan
The Wineding Down Podcast,UC0p8-e3hIdkP4F09hQc1Uow,Visit Channel,4,Yes,"Non-Filipino content creator sneaking in Philippine flag  in 16 out of 16 of their videos. they also intentionally set ""FILIPINO"" in caps to bait the watchers ",Airon Matthew Bantillo
Best Food Around The World,UC16kz8vocutCqYmEoZijW6w,Visit Channel,5,No,,Ian Gabriel Ilagan
Filipina and the Foreigner,UC17Jl7wAhdRU4Nbd-CO636w,Visit Channel,3,Yes,"Fil-am content creator always sneaking in ""Philippines"" to their video titles and they always caps ""DUMAGETE"". They also have a video that claims ""doctors and hospitals are BETTER HERE in the Philippines. ",Airon Matthew Bantillo
Visual_mode,UC1FVueCEU5ORLkWyRpEN0dQ,Visit Channel,11,Yes,,Ian Gabriel Ilagan
JinLiaTV,UC1GTMB1_PJjh8ddEzQB8HPA,Visit Channel,3,No,No Filipino related contents and majority of their videos are just KPOP parodies,Airon Matthew Bantillo
Allen Relevo,UC1LlKAwycO8TjYKJIQo2QZA,Visit Channel,3,No,,Ian Gabriel Ilagan
The Philippines Project,UC1MNjDRpoEsl_tiogaRYt1A,Visit Channel,2,Yes,Retired non-Filipino content creator  with majority of his videos about living in the Philippines and he occationally use exaggeration or thought provoking methods directed to pinoy watchers (Marrying a filipina *A big mistake? Mango Business *A big mistake?),Airon Matthew Bantillo
Challys Journey,UC1OKXpUlKSN4smvMssu7UBg,Visit Channel,10,Yes,,Ian Gabriel Ilagan
Flying Kell,UC1PwIaB8KklVK5iZqbtZErA,Visit Channel,12,Yes,"Non-Filipino content creator using pinoybaiting methods such as sneaking in ""FILIPINO"" to his filipino related videos. He's also uploading videos about he, a foreigner, reacting to filipino things. ",Airon Matthew Bantillo
Dr Laway,UC1Uvuror_cl9cRcl3h8QhSg,Visit Channel,2,Yes,,Ian Gabriel Ilagan
AlixGrace,UC1Vtf3OTZatknIne-a-5LKg,Visit Channel,4,Yes,"""Italian"" reacting to filipino foods/stores. Also uses cringey titles such as ""FILIPINO SUPER POWER"", Filipinos are VERY CREATIVES""",Airon Matthew Bantillo
Zeta’s Momma and Dada,UC1WRWKFPce0M6elipGZ8eMg,Visit Channel,2,Yes,"Might need to double check :). Although they're a filam couple, their vlogs mostly depict their foreign life",Ian Gabriel Ilagan
Asian Boss,UC2-_WWPT_124iN6jiym4fOw,Visit Channel,4,Yes,"Uploads filipino contents about koreans reaction to various filipino things like ""What koreans think of the Philippines"" to capture the attention of Filipino watchers",Airon Matthew Bantillo
JSB PINAY VLOGS,UC211QaCtk9p37_-cvtN3kxg,Visit Channel,4,Yes,,Ian Gabriel Ilagan
C Pas,UC23dOMkDdz7LJF34Ui3goJA,Visit Channel,7,No,"Can have some pinoybaiting schemes such as mentioning SB19 (A famous pinoy group) to get the attention of SB19 fans and pinoy viewers. However, the videos themselves doesn't really intend or obviously bait pinoy watchers since the videos where it is about SB19 is when they performed at the Asia Artist Awards (AAA). ",Airon Matthew Bantillo
123JAPAN!,UC23SG4XKkSrbhz-bZ2f5Mfw,Visit Channel,32,Yes,,Ian Gabriel Ilagan
Rob Wanders,UC24QUYgHDRVPq-CqzDAXDcQ,Visit Channel,4,Yes,,Airon Matthew Bantillo
Lifey,UC25HBOBYfc-scqCQcyYKVNw,Visit Channel,7,Yes,,Ian Gabriel Ilagan
1997meggers,UC2bhD7AMh9a9uwz9_0JZZWw,Visit Channel,2,No,Can't specify if a foreigner,Airon Matthew Bantillo
Almost Polyglot,UC2dqBC-sMDS2d6RYlcihEmw,Visit Channel,2,Yes,Might need to double check :). The channel is about learning different languages,Ian Gabriel Ilagan
Yo!,UC2fOfXH87lynFQkzRcYEQ4A,Visit Channel,8,No,Channel not available ,Airon Matthew Bantillo
Namastejuli,UC2gZh8iGgLI7xLkxaoMkKSg,Visit Channel,2,No,,Ian Gabriel Ilagan
aeradits,UC2H2SMSG36AfDNYyJK0waNg,Visit Channel,2,No,Can't specify if a foreigner,Airon Matthew Bantillo
jen!,UC2JUkXLai3HvvaA9kMZhAgw,Visit Channel,2,No,,Ian Gabriel Ilagan
AKOSI DOGIE,UC2LB3AyQ4q2rAk5x1HDDT0g,Visit Channel,4,No,,Airon Matthew Bantillo
Marker 44,UC2V7XAqnvbIKmlox8FEMkvA,Visit Channel,5,Yes,,Ian Gabriel Ilagan
백다니엘 DANIEL BAEK,UC2v9vlHZFQyU_K5OkbUlrmQ,Visit Channel,3,Yes,Majority are about korean reaction to Pinoy artists,Airon Matthew Bantillo
The YUH Family,UC2wTnMBvQ_TH0qn5rJl8hWQ,Visit Channel,3,Yes,Might need to double check :). They kinda make all kinds of stuff,Ian Gabriel Ilagan
Korean Filipino Jobs,UC2xFAIV5shzGSzX-F2J_1QA,Visit Channel,11,Yes,,Airon Matthew Bantillo
Buci Bonita,UC2xL9lM-JAxfDKdq6v1FOeQ,Visit Channel,2,No,Might need to double check :). Just some lifestyle videos,Ian Gabriel Ilagan
Alwin GC,UC2YV9DGG7kN7mSeuQqD5QHA,Visit Channel,7,Yes,,Airon Matthew Bantillo
angelina,UC3Bo_vNWEEIOHj4vR7_d8uw,Visit Channel,4,No,,Ian Gabriel Ilagan
Ivana Perkovic,UC3cQWF3e0qcIDEBzCzqp_SQ,Visit Channel,2,Yes,,Airon Matthew Bantillo
Steve Yalo,UC3hNYaWQYd_kGo2rKAGQPYQ,Visit Channel,4,Yes,,Ian Gabriel Ilagan
OPLOX TV,UC3i-WTPAoJuEx9r-6HCWvkQ,Visit Channel,2,Yes,This is more like Indianbaiting but they always sneak in FILIPINO reacts ,Airon Matthew Bantillo
Yuru Philippines,UC3II306xUqkWJjTjQ39VMgw,Visit Channel,3,No,,Ian Gabriel Ilagan
PAIR OF SOULS,UC3lpA2TVsu_2qKsPlw6FctQ,Visit Channel,3,Yes,,Airon Matthew Bantillo
BUBS & DOE,UC3N6Rrx3eTcJ4A5QRs2WRHw,Visit Channel,5,Yes,Might need to double check :). They react to everything,Ian Gabriel Ilagan
Hey Joe,UC3V5_2DFqamGSrzYPg-Wggw,Visit Channel,5,Yes,,Airon Matthew Bantillo
Awesome world 어썸월드,UC3XwA9aaZdWfojyo9wKaFtw,Visit Channel,8,No,,Ian Gabriel Ilagan
Dwaine Woolley,UC3ZnKcjVu7GszgdBe4uRZ3A,Visit Channel,11,Yes,,Airon Matthew Bantillo
KaMangyan Vlogs Official,UC44SxOIVelJ7KjqmvJmde9A,Visit Channel,2,No,,Ian Gabriel Ilagan
OPM Tagalog Music,UC49ACYnKFIZB3RBJ0682MMw,Visit Channel,5,No,More likely created by a Filipino ,Airon Matthew Bantillo
C&N Podcast,UC4BLZTtlj1hasWQ1HqJ1ppQ,Visit Channel,3,Yes,Might need to double check :). They react to all kinds of trending or viral music,Ian Gabriel Ilagan
ALAN 5751,UC4bY8VfE_aLXKN8VUPYVu8Q,Visit Channel,2,Yes,There's a one video about different types of people (english speaking) reacting to philippines,Airon Matthew Bantillo
Our Philippines' Adventures,UC4K-p09jBTGH-nvqj-UqELQ,Visit Channel,5,Yes,,Ian Gabriel Ilagan
Owl of Asia,UC4r6JBPiafpR2J7L_-KRM0Q,Visit Channel,4,Yes,"""50 + FILIPINA GODDAMMM""",Airon Matthew Bantillo
OSSC,UC4rh5RVSMT00G29ySkkt1hg,Visit Channel,26,No,,Ian Gabriel Ilagan
GKD LABELS,UC4S7Ca53tVPuNQhAJKxzlzw,Visit Channel,56,Yes,Non-filipino content creators with majority of their videos only reacting to pinoy singers,Airon Matthew Bantillo
Irene_Eneri,UC4ypznkS1QNOSTxLOScKG6A,Visit Channel,3,Yes,,Ian Gabriel Ilagan
Oskar and Dan,UC56wC_xI1tobDsh0PhIG5Ow,Visit Channel,2,Yes,"Using provoking titles or captions in thumbnails such as ""We've been warned (in manila)"". They are also non filipino english speaking content creators",Airon Matthew Bantillo
MPL Philippines,UC5ASeit2rM3taMSUChv9tNA,Visit Channel,8,No,,Ian Gabriel Ilagan
Siobal D,UC5iqmxuLMWeWcXF5FtE_iZA,Visit Channel,2,No,Filipino content creator ,Airon Matthew Bantillo
Snipe Gaming TV,UC5lxfy3BVWiaUw5BAf0VINw,Visit Channel,13,No,,Ian Gabriel Ilagan
Righteous Robot,UC5qFBTCSYO6Pc69bZk9CmfQ,Visit Channel,4,No,No Filipino related content ,Airon Matthew Bantillo
The Sunbae Club,UC5srj0Tgfq-FuFyk9HFl0Rw,Visit Channel,76,Yes,Might need to double check :). They sort of react to all kinds of stuff,Ian Gabriel Ilagan
The Music Recording Network,UC5TtuPafJIA-EBjDbjiUoFg,Visit Channel,2,Yes,"often sneaks in lines like ""Mind-blowing!"" ""FIRST TIME HEARING"" when uploading filipino related contents",Airon Matthew Bantillo
Smash Japanese,UC5xYepDyTWLh7QVgouUaCpA,Visit Channel,4,No,,Ian Gabriel Ilagan
Farhan Jahan,UC5yhpjeZYcuSLqeOdHLxnzg,Visit Channel,9,No,Channel does not exist. ,Airon Matthew Bantillo
The Sound Of The Philippines - bellapuhon,UC5zl9CnWhbwUBbPaqsWeyGw,Visit Channel,2,Yes,,Ian Gabriel Ilagan
Yad Ventures,UC6_2wj3vR_j5EiqB-hZ7BUA,Visit Channel,3,Yes,,Airon Matthew Bantillo
BOLJUG,UC6-T5O6sH1TW93lcEhbueMQ,Visit Channel,2,No,,Ian Gabriel Ilagan
esportstvid,UC615Ng78VDeJgETIfVnH8rw,Visit Channel,4,No,,Airon Matthew Bantillo
Anime - chan,UC6h-IgI3Dzx7nxCHaCfXl_g,Visit Channel,2,No,,Ian Gabriel Ilagan
Handa Studio Philippines,UC6i-b_82Fu9hCcgVnJEuV-Q,Visit Channel,204,Yes,,Airon Matthew Bantillo
Emy & Johan in the Philippines,UC6I1pNKRkHzFQhjxH83uaQg,Visit Channel,5,Yes,,Ian Gabriel Ilagan
CorruptedKitsune,UC6k-25L3zChu75D9uYmfiHQ,Visit Channel,2,Yes,,Airon Matthew Bantillo
Meljean Solon,UC6tfBpIVlXZehYg6mvV-qWg,Visit Channel,4,Yes,Might need to double check :). Filipina and forefinger lifestyle,Ian Gabriel Ilagan
Jiaoying Summers,UC6tI7PwweyR3TQlsMTR1zWg,Visit Channel,4,Yes,,Airon Matthew Bantillo
Zoe&Czar,UC6tqkWOGlN6zJDcnJvYkaMQ,Visit Channel,4,Yes,,Ian Gabriel Ilagan
Jelena Kopilec,UC6tTTsFKifxEhOIMI2HtLeQ,Visit Channel,9,Yes,,Airon Matthew Bantillo
Kuya Alp,UC6uatVhsxPKbRVBuxF4NDtg,Visit Channel,2,Yes,,Ian Gabriel Ilagan
Richards Infinity,UC6WCc8tJw_9zU9HZ9mNpmBw,Visit Channel,2,Yes,,Airon Matthew Bantillo
The Rage and The Worst,UC6wVxQeATe3O2XaANCjWFGA,Visit Channel,5,Yes,,Ian Gabriel Ilagan
Travel with Balnur,UC7A7na9vLPoBUKmpnAYFLew,Visit Channel,4,Yes,,Airon Matthew Bantillo
SecretLifeofLauren,UC7AB80x51RwhxZpJmIUQiZQ,Visit Channel,3,Yes,,Ian Gabriel Ilagan
Field of Visions,UC7bjjCXpXx41KriftaL6Biw,Visit Channel,3,Yes,,Airon Matthew Bantillo
Entertainment News Portal,UC7eXEhp_3MZI_s1CoZBrJyA,Visit Channel,2,No,,Ian Gabriel Ilagan
Bisayang Hilaw,UC7fga_Kycp9z6pg5Yhx7R-w,Visit Channel,7,Yes,,Airon Matthew Bantillo
VI3ION,UC7HxIb6bY4-ymtAOS_MGsOw,Visit Channel,31,Yes,,Ian Gabriel Ilagan
MJoy4Fun,UC7iWbxJXZmhLy8_xYzAjHgA,Visit Channel,3,No,,Airon Matthew Bantillo
rukia dagtan,UC7Kwbh0a4D4mJUfMYyaQnsQ,Visit Channel,2,Yes,This channel is confusing for some reason,Ian Gabriel Ilagan
Mykoreandic,UC7QpulteHAxk4S1AASzCjvw,Visit Channel,3,Yes,,Airon Matthew Bantillo
World Friends,UC7QteRlErpm27bkZ6izFwKg,Visit Channel,2,No,,Ian Gabriel Ilagan
More Travels w/ Drew Binsky,UC7xP-m9hfVmFqNLaKGgIlzA,Visit Channel,2,Yes,,Airon Matthew Bantillo
PINAY AFAM TV🇦🇺,UC7yK84cgpIy9iRjk1uoM8WA,Visit Channel,6,Yes,,Ian Gabriel Ilagan
Two Between | Sarah and Seunghyun,UC82Q2jylxM5jMmnK4SEb8pA,Visit Channel,2,Yes,,Airon Matthew Bantillo
Harry Jaggard,UC8fwExOkHg0_fX_XJcR31NA,Visit Channel,3,Yes,Might need to double check :). Channel focuses on travel vlogs in different countries,Ian Gabriel Ilagan
FoodieMommaPH,UC8hiiGm6GTyTVvO-LtZ2Xmw,Visit Channel,2,Yes,,Airon Matthew Bantillo
PRINCESS CHRISTY 💕,UC8lYYEeIHHY9sCTGik4s06g,Visit Channel,4,Yes,Might need to double check :). Travel vlogs,Ian Gabriel Ilagan
FosteringMusic,UC8nzqHSHqZb7oLaG3YTqy-g,Visit Channel,2,Yes,,Airon Matthew Bantillo
Reidy Ventures,UC8OLrmcJnZWAZpH8fpyEChg,Visit Channel,2,Yes,,Ian Gabriel Ilagan
HORI7ON PH,UC8ox5YnSUPlm1q-_yiqxfCA,Visit Channel,4,No,Account terminated,Airon Matthew Bantillo
Emirates Loves Philippines,UC8qBrdamqYihT_xWo-zyo-A,Visit Channel,2,Yes,Confusing channel content,Ian Gabriel Ilagan
McJhony,UC8rc4LEymAfWQMx1diQlaXA,Visit Channel,9,No,,Airon Matthew Bantillo
Pamilya Abilla,UC8rEUBRN_jolCH0MqEc2_HA,Visit Channel,2,Yes,,Ian Gabriel Ilagan
Go With Ali,UC8S3gQ0LjFLx4cFrzBXytrw,Visit Channel,10,Yes,,Airon Matthew Bantillo
Province Smile,UC8u9rhEMQ1dN4nUW9hLS21g,Visit Channel,2,Yes,,Ian Gabriel Ilagan
Two Broskis,UC94bSvWltDS6I0U_u7mn8VQ,Visit Channel,8,Yes,,Airon Matthew Bantillo
Anne Today,UC96SVjbFTRkUQ_wyeKBeN6g,Visit Channel,2,Yes,,Ian Gabriel Ilagan
Cousin Blaisee,UC96vBf9-fNyC5O8m8l_OKZg,Visit Channel,3,Yes,,Airon Matthew Bantillo
fanny_video51,UC990V0wlxyg06P4T3nVXZzA,Visit Channel,3,No,Channel does not exist,Ian Gabriel Ilagan
FUNG BROS.,UC9avFXTdbSo5ATvzTRnAVFg,Visit Channel,3,Yes,,Airon Matthew Bantillo
Aaron Around,UC9DwgmJc-uKnxGavukOy_6w,Visit Channel,2,Yes,,Ian Gabriel Ilagan
Ultimate Gacha Wolf PH,UC9F5_fWffejgUZixVyfwo1Q,Visit Channel,3,No,,Airon Matthew Bantillo
Warographics,UC9h8BDcXwkhZtnqoQJ7PggA,Visit Channel,2,No,,Ian Gabriel Ilagan
Jorden Tually,UC9hCQoT-VY7vVRaC62WJOJw,Visit Channel,3,Yes,,Airon Matthew Bantillo
Jun's Life in the Philippines,UC9HiNy95qeyWUarzHO9sk8A,Visit Channel,4,Yes,,Ian Gabriel Ilagan
Happiness Crossing,UC9jKcnqQ1TziJRAkSXbNISA,Visit Channel,5,Yes,,Airon Matthew Bantillo
DRHOBS,UC9oT9kTjh7_rcS0Ld9LOETw,Visit Channel,2,No,,Ian Gabriel Ilagan
Anthony & Ana,UC9RfFnZa7EPPkxb3hX32rFA,Visit Channel,4,Yes,,Airon Matthew Bantillo
Illustrado Magazine,UC9YWmmRmSvug3HYYnq2dcqw,Visit Channel,2,Yes,,Ian Gabriel Ilagan
Martin Solhaugen,UCa__kMdkhFJvXcx1WALJ3hg,Visit Channel,2,Yes,,Airon Matthew Bantillo
Music Hot,UCa2pFBgiwFvH9XNCasfxHiw,Visit Channel,3,No,,Ian Gabriel Ilagan
Casal Louco e Sonhador,UCA4GyKGfPWFjscpBSgDCh1g,Visit Channel,4,No,,Airon Matthew Bantillo
Vocal Lab Collective,UCa9GyTms1Kyve7Pyj3i-Vnw,Visit Channel,6,Yes,,Ian Gabriel Ilagan
RT TV,UCa9T0y46uK5FzJT-8tLBFeQ,Visit Channel,3,Yes,,Airon Matthew Bantillo
DORCAS Morounmubo,UCaAjLj9oGV6VKMYq8FxEwdQ,Visit Channel,16,Yes,,Ian Gabriel Ilagan
GSM10,UCaEojWHVRqEG8JtPQOtKurA,Visit Channel,2,Yes,,Airon Matthew Bantillo
BL Lover 🏳‍🌈,UCaFcgopQe6kmZ3wDHgOyjdQ,Visit Channel,3,No,Channel closed,Ian Gabriel Ilagan
Ammar,UCaFhs6xTFwNK8J8XGM6yRiQ,Visit Channel,4,Yes,,Airon Matthew Bantillo
A British Expat In The Philippines,UCAk9RQwVhfirnwxn_hKVBAA,Visit Channel,2,Yes,,Ian Gabriel Ilagan
RURUSAMA TV,UCalFWSVu4ODyVua9crUUIcA,Visit Channel,2,Yes,,Airon Matthew Bantillo
Samantha Lisa,UCam1q_TN5QauJdk07T0bteA,Visit Channel,6,Yes,,Ian Gabriel Ilagan
KarissaEats,UCamdvUq4-BoneYsHZt0Agrw,Visit Channel,2,Yes,,Airon Matthew Bantillo
Tosa Dela Yaun,UCAn1xZqc_LzZc3D7DpcFcFw,Visit Channel,2,No,"Might need to double check :). Content about the Philippines doesnt seem to be ""baiting""",Ian Gabriel Ilagan
It’s Me,UCaNjRBHCKnvqWKM22wg0ItA,Visit Channel,2,Yes,,Airon Matthew Bantillo
AnongSayoTv Cover,UCanpS1kLR6shtqkpx5H50VQ,Visit Channel,6,No,,Ian Gabriel Ilagan
KOCOWA TV,UCAqlxq4Bs9PjI86M9lM18TA,Visit Channel,2,No,,Airon Matthew Bantillo
Leeman reacts,UCATEfq-fUMoK-zftoyppJqA,Visit Channel,2,Yes,,Ian Gabriel Ilagan
Adventure Faktory,UCATIycLIXMeetRVO-XS4p7g,Visit Channel,4,Yes,,Airon Matthew Bantillo
The Content Junkies,UCau87M9DnzSL5iDE9f4uVKQ,Visit Channel,10,Yes,,Ian Gabriel Ilagan
TriFate Geo,UCAUgY9e_n2DhyZTgvPRoJnQ,Visit Channel,66,Yes,,Airon Matthew Bantillo
Alpha F,UCaxaaz3CaYc8TN7crt_LvpA,Visit Channel,3,Yes,,Ian Gabriel Ilagan
"CebuWomen,com",UCAxCIp9ngVqLFSDtX5o4LXw,Visit Channel,3,Yes,,Airon Matthew Bantillo
Nico Blitz,UCB8WyYjknn6apZL3HEuhxnQ,Visit Channel,4,Yes,,Ian Gabriel Ilagan
StarTalk Showbiz Authority,UCb9iY4lPCDLkVGl_jm4zriQ,Visit Channel,4,No,,Airon Matthew Bantillo
Christian Esguerra,UCbaLl2xCXotxwcNXI5GM-wQ,Visit Channel,2,No,,Ian Gabriel Ilagan
King Sloth,UCbbRENB2CSVSp3cYv1gAzJg,Visit Channel,4,Yes,,Airon Matthew Bantillo
Happiness Boms,UCbbw0svE3owMHUQcsL0nnUA,Visit Channel,7,Yes,,Ian Gabriel Ilagan
JohnReavesLive,UCbcBmBTMsbLxYv-rOyPiRWw,Visit Channel,3,Yes,,Airon Matthew Bantillo
2 French in Manila,UCBEzIEPpJnkdiB3yZ8V3JRg,Visit Channel,2,Yes,,Ian Gabriel Ilagan
PurpleMochi,UCbGp7x9zWaKpX5huKA20QjA,Visit Channel,2,No,,Airon Matthew Bantillo
Roger&Ismi Vlogs,UCBGxoGo28ZLJpQMML7jBKhw,Visit Channel,5,No,I think they're Filipinos,Ian Gabriel Ilagan
Building the Philippines with Wilma & Greg,UCBhnGs1nD_ixIGWkJUYkfRQ,Visit Channel,5,Yes,,Airon Matthew Bantillo
Oppa Jinyong,UCBLepDOut_qiOetyDqLBmKw,Visit Channel,6,Yes,,Ian Gabriel Ilagan
Gacha Czarina 08,UCBlv0_AQ1VrFEyZsAFEY-WQ,Visit Channel,3,Yes,,Airon Matthew Bantillo
YouTube Movies,UCbP3Ho8dd1LrbROgg748XyA,Visit Channel,4,No,,Ian Gabriel Ilagan
laoshu505000,UCbRaUB7Hfe3clmKqqj8Nm1Q,Visit Channel,2,Yes,,Airon Matthew Bantillo
꧁𝑰𝒕𝒛 𝑱𝒙𝒎𝒂𝒊𝒄𝒉𝒂_097꧂,UCbRJEFYkMU1x5quyvjP0L0Q,Visit Channel,2,No,,Ian Gabriel Ilagan
Cousins React PH,UCbS8LGW-p2mPuyLd4cF410Q,Visit Channel,97,No,,Airon Matthew Bantillo
Life as a Bilingual in the Philippines,UCBtoYkb6b5TYfrhUnxEGj4g,Visit Channel,2,Yes,,Ian Gabriel Ilagan
_.𝘅𝘆𝘇𝘀🍶,UCbVopsck2JnSOmkW0pvoqXw,Visit Channel,2,No,Channel does not exist. ,Airon Matthew Bantillo
DSReact,UCBW0DKGRqcpdU3gnAKlXhLA,Visit Channel,3,No,,Ian Gabriel Ilagan
Hashtag The Cannons,UCbZL-jnom9mBCqX2UeMcejA,Visit Channel,2,Yes,,Airon Matthew Bantillo
Travels to Freedom,UCc_tHsTZ4yGhv4tI2Fwl-ow,Visit Channel,4,No,No available Content,Ian Gabriel Ilagan
Kuya Mike,UCC6aF7bgIEBnMJC2rV4XOmg,Visit Channel,4,Yes,,
Village People Philippines,UCCAh-tDKBja88N59E-KwL3g,Visit Channel,4,Yes,,Ian Gabriel Ilagan
Travel Escapes,UCcaIZBgmiYTJP9fpO_xjMTQ,Visit Channel,10,Yes,,
Russian Pinoy — Kuya Klim,UCCb-6a1Fakv4QzwC2c-3vAg,Visit Channel,4,Yes,,Ian Gabriel Ilagan
